ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tcp,udp
1532523255.413275,126,14,358,843,123,3,5,547,3,762,False,True
1532523275.021815,1497,14,358,863,182,3,5,628,3,762,False,True
1532523234.028002,407,14,358,55,23,3,9,933,7,988,False,True
1532523339.023015,555,14,358,784,145,1,30,3660,0,0,False,True
1532523506.293975,877,14,358,908,101,3,6,714,4,1049,False,True
1532523722.340429,563,14,358,439,130,3,5,619,2,634,False,True
1532523773.033254,419,14,358,538,66,3,5,670,1,358,False,True
1532523960,390,14,358,1011,148,3,2,262,2,634,False,True
1532524007.028078,1383,14,358,987,102,3,2,268,1,723,False,True
1532524053.122794,394,14,358,476,184,3,3,543,2,448,False,True
1532524099.022129,153,14,358,735,69,3,2,262,2,634,False,True
1532524414.060793,128,14,358,987,102,3,3,402,2,1446,False,True
1532524457,1151,14,358,857,149,1,6,765,0,0,False,True
1532525073.031918,1234,14,358,987,102,3,4,536,2,1446,False,True
1532525134.025292,136,14,358,904,158,3,18,1141,19,1797,False,True
1532525140.033633,1091,14,358,596,115,3,5,360,6,975,False,True
1532525146.026464,1514,14,358,729,118,3,7,480,7,1003,False,True
1532525158.024148,1547,14,358,389,108,3,9,638,7,1012,False,True
1532525073.031911,974,14,358,980,68,1,7,938,0,0,False,True
1532525073.079873,736,14,358,857,149,1,7,899,0,0,False,True
1532525110.023681,677,14,358,478,142,3,7,899,1,108,False,True
1532525172.026951,26,14,358,925,180,3,12,774,9,1770,False,True
1532525132,1056,14,358,597,53,1,6,765,0,0,False,True
1532525220.029934,748,14,358,366,86,3,11,817,7,1647,False,True
1532525266.021564,456,14,358,829,19,3,5,325,6,966,False,True
1532525272.028653,585,14,358,717,155,3,5,323,6,968,False,True
1547150917.932958,841,12,2,914,5,1,1,76,0,0,False,True
1547150945,1478,12,2,999,5,3,1,76,1,76,False,True
1547150981.932943,180,12,2,886,5,3,1,76,1,76,False,True
1547150983.933045,515,12,2,914,5,1,1,76,0,0,False,True
1547151023.932988,19,12,2,718,5,3,1,76,1,76,False,True
1547151045.933182,840,12,2,913,5,3,1,76,1,76,False,True
1547151050.933086,1550,12,2,914,5,1,1,76,0,0,False,True
1547151076.933252,117,12,2,999,5,3,1,76,1,76,False,True
1547151118.933303,1140,12,2,886,5,3,1,76,1,76,False,True
1547151119.933476,435,12,2,914,5,1,1,76,0,0,False,True
1547151156,1034,12,2,718,5,3,1,76,1,76,False,True
1547151182.933548,978,12,2,913,5,3,1,76,1,76,False,True
1547151187.933699,894,12,2,914,5,3,1,76,1,76,False,True
1547150788.860071,1036,11,481,484,1,0,214,11384,213,40172,True,False
1547151209.933652,17,12,2,999,5,3,1,76,1,76,False,True
1547151248.933909,521,12,2,886,5,3,1,76,1,76,False,True
1547151290.933959,883,12,2,718,5,3,1,76,1,76,False,True
1547151313.934098,1448,12,2,913,5,3,1,76,1,76,False,True
1547151320.934107,211,12,2,914,5,3,1,76,1,76,False,True
1547151339.934273,1177,12,2,999,5,3,1,76,1,76,False,True
1547151382.934502,233,12,2,886,5,3,1,76,1,76,False,True
1547151422.934685,954,12,2,718,5,3,1,76,1,76,False,True
1547151447.934685,1184,12,2,913,5,3,1,76,1,76,False,True
1547151453.934763,643,12,2,914,5,1,1,76,0,0,False,True
